vx,vy,omega,theta,x,y,e_x,,0.5-x,P1 LHS,P1 RHS,,,"""-0.5-x","""-0.79<th","""th<-0.74",P2 LHS,"""0.184<ex","""ex<0.19",P2 RHS,,"""om>0","""vy<-0.3",P3 LHS,P3 RHS,,P1-2 LHS,P1-2 RHS,,"""-2<y<2","""-0.7869<th","""th<-0.747",P2 RHS,,isabove ystar=2?,,,,
0.969114577,-0.292512056,-0.268122242,-0.068005878,0.482645864,1.34008396,0.19,,0.017354136,TRUE,TRUE,TRUE,,-0.982645864,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,262,,
1.182395975,-0.537869316,-0.321822683,-0.224654215,0.97149267,1.05379588,0.193,,-0.47149267,TRUE,TRUE,TRUE,,-1.47149267,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
1.610253793,-0.603837844,-0.203295996,-0.360992036,1.544375663,0.566293874,0.19194125,,-1.044375663,TRUE,TRUE,TRUE,,-2.044375663,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.037702364,-0.382431668,-0.31424769,-0.464141562,2.287784443,-0.035855,0.191776247,,-1.787784443,TRUE,TRUE,TRUE,,-2.787784443,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.330102479,-0.212456837,-0.34553527,-0.647136342,3.139195344,-0.732481097,0.193,,-2.639195344,TRUE,TRUE,TRUE,,-3.639195344,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.649700439,-0.139284189,-0.213490788,-0.786706597,4.014568482,-1.621360766,0.193,,-3.514568482,TRUE,TRUE,TRUE,,-4.514568482,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,
2.930404215,-0.093806164,-0.096039797,-0.861124392,4.916351234,-2.690880678,0.189508527,,-4.416351234,TRUE,TRUE,TRUE,,-5.416351234,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,
3.132078188,-0.068815759,-0.026425443,-0.889398299,5.855526339,-3.885478663,0.187124632,,-5.355526339,TRUE,TRUE,TRUE,,-6.355526339,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.25820441,-0.057773386,0.004172278,-0.893814744,6.834882867,-5.151542547,0.18679183,,-6.334882867,TRUE,FALSE,FALSE,,-7.334882867,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.328948081,-0.053814531,0.01490688,-0.888598932,7.848890761,-6.451764602,0.187097067,,-7.348890761,TRUE,TRUE,TRUE,,-8.348890761,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
